Sim	QM	forNTS	indicator	confidence
576	48	6520.400149500466	-1	3
577	1	6537.7073293458225	-1	3
578	2	6540.955543168338	-1	3
579	3	6533.717234886558	-1	3
580	4	6528.369468552005	-1	3
581	5	6530.104902177198	-1	3
582	6	6522.246813903124	-1	3
583	7	6494.717006781155	-1	3
584	8	6498.39951782227	-1	3
585	9	6495.5389189158095	-1	3
586	10	6495.34925015856	-1	3
587	11	6476.435727543227	-1	3
588	12	6494.685394039325	-1	3
589	13	6505.414787173594	-1	3
590	14	6538.60616422011	-1	3
591	15	6581.651701433273	-1	3
592	16	6619.244607569253	-1	3
593	17	6645.461330377715	-1	3
594	18	6638.906672332153	-1	3
595	19	6655.414381030962	-1	3
596	20	6703.631611830055	-1	2
597	21	6751.24285285417	-1	2
598	22	6775.330834915172	-1	2
599	23	6787.425684213055	-1	2
600	24	6805.390404463893	-1	2
601	25	6807.193723656848	-1	2
602	26	6811.374906884636	-1	1
603	27	6825.186549687917	-1	1
604	28	6842.045377908744	-1	1
605	29	6862.78046684125	0	1
606	30	6872.38830158091	0	1
607	31	6886.3421708251435	0	1
608	32	6918.841683029402	0	2
609	33	6935.820107598065	0	2
610	34	6941.671851256176	0	2
611	35	6950.963111060757	0	2
612	36	6976.9460035482425	0	2
613	37	6990.070881627067	0	2
614	38	6991.533794600202	0	2
615	39	6994.366917351709	0	2
616	40	7004.972117757415	0	2
617	41	7006.510860786838	0	2
618	42	7030.1616606939015	0	2
619	43	7050.714003341567	0	2
620	44	7053.446569584064	0	2
621	45	7065.5850656379	0	2
622	46	7075.400941535116	0	2
623	47	7060.613934375247	0	2
624	48	7047.904288009613	0	2
625	1	7049.362932973593	0	2
626	2	7075.0942685398395	0	2
627	3	7125.998867079035	0	2
628	4	7198.960686340698	0	1
629	5	7242.560353000047	1	1
630	6	7256.074973301267	1	1
631	7	7244.734849063726	1	1
632	8	7232.658145316276	0	1
633	9	7242.80366476179	1	1
634	10	7259.858682653112	1	1
635	11	7291.180408875028	1	2
636	12	7311.454092193517	1	2
637	13	7389.497045667202	1	2
638	14	7404.424750161898	1	2
639	15	7387.760572200758	1	2
640	16	7362.346187417459	1	2
641	17	7357.537831659617	1	2
642	18	7382.71642828221	1	2
643	19	7384.513733448676	1	2
644	20	7360.138715867552	1	2
645	21	7342.092142000711	1	2
646	22	7339.776565207523	1	2
647	23	7335.5685140962005	1	2
648	24	7323.166433531492	1	2
649	25	7340.866280672138	1	2
650	26	7358.656856683961	1	2
651	27	7368.19636371022	1	2
652	28	7364.795298966203	1	2
653	29	7366.881351374577	1	2
654	30	7381.266388332516	1	2
655	31	7378.71346833742	1	2
656	32	7374.301767589771	1	2
657	33	7377.399121111467	1	2
658	34	7370.3123008017365	1	2
659	35	7356.524608286715	1	2
660	36	7345.572587220558	1	2
661	37	7340.10953990882	1	2
662	38	7346.359389424381	1	2
663	39	7341.244640679213	1	2
664	40	7341.940805023643	1	2
665	41	7354.21064395898	1	2
666	42	7351.760282608322	1	2
667	43	7339.292228805784	1	2
668	44	7355.496211569048	1	2
669	45	7352.425841499141	1	2
670	46	7347.206681454312	1	2
671	47	7334.145454219919	1	2
672	48	7332.4951876992745	1	2
673	1	7329.0731144042675	1	2
674	2	7307.452492755549	1	2
675	3	7259.235710342882	1	1
676	4	7204.842348919072	0	1
677	5	7171.144444649131	0	2
678	6	7181.229195866773	0	2
679	7	7208.924988876844	0	1
680	8	7201.840780608848	0	1
681	9	7166.779438094735	0	2
682	10	7165.451434392018	0	2
683	11	7141.6088287595685	0	2
684	12	7114.432644854464	0	2
685	13	7064.0815827462075	0	2
686	14	7053.431219137081	0	2
687	15	7033.55779793441	0	2
688	16	7045.98485518846	0	2
689	17	7027.010877388717	0	2
690	18	7019.554589292137	0	2
691	19	7020.600176253939	0	2
692	20	7007.464821279903	0	2
693	21	6990.902445476036	0	2
694	22	6976.036797076257	0	2
695	23	6974.264494167415	0	2
696	24	6981.537624863906	0	2
697	25	6964.059085343855	0	2
698	26	6960.157430065135	0	2
699	27	6941.887977141677	0	2
700	28	6936.82382915755	0	2
701	29	6927.355913497558	0	2
702	30	6907.555760197426	0	1
703	31	6917.2651384476385	0	2
704	32	6922.241639670499	0	2
705	33	6922.241639670499	0	2
706	34	6932.839523034961	0	2
707	35	6942.860514097672	0	2
708	36	6951.148274111137	0	2
709	37	6929.271490029109	0	2
710	38	6923.029726874882	0	2
711	39	6919.027150486388	0	2
712	40	6912.426514696219	0	2
713	41	6885.738381995427	0	1
714	42	6868.530243931864	0	1
715	43	6862.470457287786	0	1
716	44	6824.208098351702	-1	1
717	45	6806.478634595422	-1	2
718	46	6799.186313712528	-1	2
719	47	6786.927720418317	-1	2
720	48	6762.449263309634	-1	2
721	1	6750.135881514378	-1	2
722	2	6744.740423395856	-1	2
723	3	6761.00012644447	-1	2
724	4	6767.465854466721	-1	2
725	5	6764.490333813344	-1	2
726	6	6765.300469182516	-1	2
727	7	6767.933171568188	-1	2
728	8	6792.9646579700175	-1	2
729	9	6845.7535837535515	-1	1
730	10	6862.749466109392	0	1
731	11	6854.098320655773	-1	1
732	12	6841.238477213017	-1	1
733	13	6791.362254444225	-1	2
734	14	6734.709535598959	-1	2
735	15	6725.891083192328	-1	2
736	16	6685.351446304974	-1	2
737	17	6668.979646364113	-1	3
738	18	6640.020185099723	-1	3
739	19	6612.680748149895	-1	3
740	20	6595.757943318398	-1	3
741	21	6578.741053882028	-1	3
742	22	6562.02351577071	-1	3
743	23	6541.4758349370595	-1	3
744	24	6520.652695750538	-1	3
745	25	6516.327362086819	-1	3
746	26	6504.798688593989	-1	3
747	27	6504.940867026047	-1	3
748	28	6508.337024251989	-1	3
749	29	6515.159031659758	-1	3
750	30	6562.0550130813035	-1	3
751	31	6562.810932451405	-1	3
752	32	6573.091520773248	-1	3
753	33	6564.417158598272	-1	3
754	34	6553.296694747616	-1	3
755	35	6570.085078439897	-1	3
756	36	6558.637242101284	-1	3
757	37	6583.728208756422	-1	3
758	38	6582.4697472017715	-1	3
759	39	6588.934187110181	-1	3
760	40	6591.623109017507	-1	3
761	41	6610.638885420284	-1	3
762	42	6603.58488441606	-1	3
763	43	6598.461596365556	-1	3
764	44	6615.491870223545	-1	3
765	45	6619.134705487527	-1	3
766	46	6615.8216389006475	-1	3
767	47	6632.789012013155	-1	3
768	48	6643.83072070671	-1	3
769	1	6667.335418720677	-1	3
770	2	6697.847673883647	-1	2
771	3	6717.318427218995	-1	2
772	4	6711.773022622133	-1	2
773	5	6726.250144478529	-1	2
774	6	6713.475868952625	-1	2
775	7	6721.784811976248	-1	2
776	8	6703.428422394064	-1	2
777	9	6687.432118616869	-1	2
778	10	6675.289014488645	-1	2
779	11	6687.041032322213	-1	2
780	12	6688.542759468952	-1	2
781	13	6729.231651737316	-1	2
782	14	6806.867273259992	-1	2
783	15	6830.466222378533	-1	1
784	16	6883.292070988544	0	1
785	17	6923.153345510264	0	2
786	18	6956.177867999889	0	2
787	19	6996.460703046623	0	2
788	20	7062.7314197647065	0	2
789	21	7093.976539399827	0	2
